短地: duǎn de
嘀地: dí de
蹬地: dēng de
突地: tū de
忽地: hū de
霍地: huò de
蓦地: mò de
倏地: shū de
墩地: dūn de
般地: bān de
嗖地: sōu de
尹地: yǐn de
咻地: xiū de
羞地: xiū de
腾地: téng de
傻地: shǎ de
气地: qì de
怯地: qiè de
全地: quán de
求地: qiú de
取地: qǔ de
轻地: qīng de
起地: qǐ de
球地: qiú de
强地: qiáng de
愀地: qiǎo de
确地: què de
猛地: měng de
河地: hé de
哼地: hēng de
凄惨地: qī cǎn de
清澈地: qīng chè de
气喘地: qì chuǎn de
全长地: quán zhǎng de
求疵地: qiú cī de
其次地: qí cì de
屈从地: qū cóng de
青春地: qīng chūn de
青翠地: qīng cuì de
前侧地: qián cè de
起初地: qǐ chū de
清彻地: qīng chè de
清脆地: qīng cuì de
清澄地: qīng chéng de
恰当地: qià dàng de
屈地街: qū de jiē
强调地: qiáng diào de
气动地: qì dòng de
屈地性: qū de xìng
秋地站: qiū de zhàn
清淡地: qīng dàn de
强大地: qiáng dà de
强夺地: qiáng duó de
愀动地: qiǎo dòng de
期待地: qī dài de
确定地: què deng de
气愤地: qì fèn de
恰好地: qià hǎo de
勤奋地: qín fèn de
巧合地: qiǎo hé de
启发地: qǐ fā de
其后地: qí hòu de
屈服地: qū fú de
前方地: qián fāng de
轻浮地: qīng fú de
缺乏地: quē fá de
期货地: qī huò de
潜伏地: qián fú de
谦恭地: qiān gōng de
奇怪地: qí guài de
乞丐地: qǐ gài de
起劲地: qǐ jìn de
清洁地: qīng jié de
巧捷地: qiǎo jié de
曲解地: qū jiě de
奇迹地: qí jì de
亲近地: qīn jìn de
前进地: qián jìn de
倾角地: qīng jiǎo de
虔敬地: qián jìng de
强劲地: qiáng jìng de
强健地: qiáng jiàn de
群居地: qún jū de
轻快地: qīng kuài de
穷困地: qióng kùn de
勤快地: qín kuài de
轻狂地: qīng kuáng de
轻蔑地: qīng miè de
巧妙地: qiǎo miào de
全面地: quán miàn de
奇妙地: qí miào de
启蒙地: qǐ méng de
亲密地: qīn mì de
前面地: qián miàn de
绻毛地: quǎn máo de
欺瞒地: qī mán de
勤勉地: qín miǎn de
强迫地: qiǎng pò de
俏皮地: qiào pí de
轻飘地: qīng piāo de
钦佩地: qīn pèi de
起泡地: qǐ pào de
确切地: què qiè de
轻轻地: qīng qīng de
怯怯地: qiè qiè de
悄悄地: qiāo qiāo de
亲切地: qīn qiè de
乞求地: qǐ qiú de
祈求地: qí qiú de
切实地: qiè shí de
轻松地: qīng sōng de
齐声地: qí shēng de
全身地: quán shēn de
全速地: quán sù de
启示地: qǐ shì de
歧视地: qí shì de
侵蚀地: qīn shí de
前述地: qián shù de
轻视地: qīng shì de
清爽地: qīng shuǎng de
骑士地: qí shì de
轻佻地: qīng tiāo de
全体地: quán tǐ de
前台地: qián tái de
清透地: qīng tòu de
轻微地: qīng wēi de
权威地: quán wēi de
期望地: qī wàng de
倾斜地: qīng xié de
谦逊地: qiān xùn de
清晰地: qīng xī de
齐心地: qí xīn de
栖息地: qī xī de
清醒地: qīng xǐng de
强行地: qiáng xíng de
确信地: què xìn de
谦虚地: qiān xū de
取笑地: qǔ xiào de
奇性地: qí xìng de
轻信地: qīng xìn de
趋向地: qū xiàng de
奇异地: qí yì de
轻盈地: qīng yíng de
情愿地: qíng yuàn de
区域地: qū yù de
权宜地: quán yí de
惬意地: qiè yì de
强硬地: qiáng yìng de
亲自地: qīn zì de
强壮地: qiáng zhuàng de
曲折地: qū zhé de
穹状地: qióng zhuàng de
前兆地: qián zhào de
前者地: qián zhě de
轻装地: qīng zhuāng de
球状地: qiú zhuàng de
强制地: qiáng zhì de
愀知地: qiǎo zhī de
欺诈地: qī zhà de
敲诈地: qiāo zhà de
胜利地: shèng lì de
失礼地: shī lǐ de
熟练地: shú liàn de
平安地: píng ān de
漂亮地: piào liàng de
漂流地: piāo liú de
怕人地: pà rén de
贫弱地: pín ruò de
叛乱地: pàn luàn de
叛逆地: pàn nì de
砰然地: pēng rán de
破例地: pò lì de
破烂地: pò làn de
偏爱地: piān ài de
骗人地: piàn rén de
旁边地: páng biān de
漂泊地: piāo bó de
叵测地: pǒ cè de
平常地: píng cháng de
平等地: píng děng de
满意地: mǎn yì de
满溢地: mǎn yì de
蔓延地: màn yán de
明智地: míng zhì de
埋葬地: mái zàng de
莽撞地: mǎng zhuàng de
猛乍地: měng zhà de
木制地: mù zhì de
民主地: mín zhǔ de
民族地: mín zú de
满足地: mǎn zú de
矛盾地: máo dùn de
冒渎地: mào dú de
迷地装: mí de zhuāng
梅毒地: méi dú de
梦多地: mèng duō de
猛地关: měng de guān
摩登地: mó dēng de
模糊地: mó hú de
免费地: miǎn fèi de
美好地: měi hǎo de
马虎地: mǎ hǔ de
迷惑地: mí huò de
迷糊地: mí hū de
麻烦地: má fán de
蛮横地: mán hèng de
模仿地: mó fǎng de
牧歌地: mù gē de
敏感地: mǐn gǎn de
魔鬼地: mó guǐ de
敏捷地: mǐn jié de
密集地: mì jí de
每季地: měi jì de
猛进地: měng jìn de
明快地: míng kuài de
慢慢地: màn màn de
满满地: mǎn mǎn de
秘密地: mì mì de
绵绵地: mián mián de
盲目地: máng mù de
莫名地: mò míng de
美妙地: měi miào de
密密地: mì mì de
默默地: mò mò de
命名地: mìng míng de
明媚地: míng mèi de
冒昧地: mào mèi de
美满地: měi mǎn de
密码地: mì mǎ de
麻木地: má mù de
明确地: míng què de
密切地: mì qiè de
勉强地: miǎn qiǎng de
目前地: mù qián de
藐视地: miǎo shì de
蔑视地: miè shì de
么似地: me shì de
免税地: miǎn shuì de
茂盛地: mào shèng de
冒失地: mào shī de
美术地: měi shù de
梦似地: mèng shì de
蔓生地: màn shēng de
苗条地: miáo tiáo de
迷途地: mí tú de
美味地: měi wèi de
谬误地: miù wù de
明显地: míng xiǎn de
明晰地: míng xī de
母系地: mǔ xì de
盲信地: máng xìn de
冒险地: mào xiǎn de
迷信地: mí xìn de
冥想地: míng xiǎng de
梦想地: mèng xiǎng de
描写地: miáo xiě de
慢性地: màn xìng de
默想地: mò xiǎng de
毛糙地: máo cāo de
每次地: měi cì de
冒充地: mào chōng de
勉从地: miǎn cóng de
猛冲地: měng chōng de
空前地: kōng qián de
肯切地: kěn qiè de
客气地: kè qì de
口腔地: kǒu qiāng de
可亲地: kě qīn de
苛求地: kē qiú de
恳求地: kěn qiú de
渴求地: kě qiú de
快速地: kuài sù de
瞌睡地: kē shuì de
口述地: kǒu shù de
开速地: kāi sù de
空手地: kōng shǒu de
苦涩地: kǔ sè de
宽松地: kuān sōng de
宽恕地: kuān shù de
口头地: kǒu tóu de
开拓地: kāi tuò de
可叹地: kě tàn de
苦痛地: kǔ tòng de
渴望地: kě wàng de
开胃地: kāi wèi de
狂文地: kuáng wén de
狂妄地: kuáng wàng de
空想地: kōng xiǎng de
开心地: kāi xīn de
可笑地: kě xiào de
科学地: kē xué de
开性地: kāi xìng de
开细地: kāi xì de
可信地: kě xìn de
可选地: kě xuǎn de
可惜地: kě xī de
可喜地: kě xǐ de
狂喜地: kuáng xǐ de
空心地: kōng xīn de
空闲地: kòng xián de
空虚地: kōng xū de
空暇地: kòng xiá de
苦行地: kǔ xíng de
抗议地: kàng yì de
可疑地: kě yí de
控于地: kòng yú de
开已地: kāi yǐ de
开硬地: kāi yìng de
可厌地: kě yàn de
夸耀地: kuā yào de
克已地: kè yǐ de
宽裕地: kuān yù de
垦殖地: kěn zhí de
夸张地: kuā zhāng de
枯燥地: kū zào de
开制地: kāi zhì de
可憎地: kě zēng de
空载地: kōng zài de
靠着地: kào zhe de
猛烈地: měng liè de
敏锐地: mǐn ruì de
马拉地: mǎ lā de
茫然地: máng rán de
木然地: mù rán de
忙乱地: máng luàn de
忙碌地: máng lù de
每年地: měi nián de
明亮地: míng liàng de
美丽地: měi lì de
迷人地: mí rén de
名人地: míng rén de
每日地: měi rì de
闷热地: mēn rè de
卖力地: mài lì de
明了地: míng liǎo de
明朗地: míng lǎng de
贸然地: mào rán de
迷恋地: mí liàn de
骂人地: mà rén de
猛拉地: měng lā de
猛然地: měng rán de
模拟地: mó nǐ de
漫然地: màn rán de
魅力地: mèi lì de
默认地: mò rèn de
朦胧地: méng lóng de
明白地: míng bái de
木板地: mù bǎn de
目标地: mù biāo de
可恨地: kě hèn de
开风地: kāi fēng de
开发地: kāi fā de
开花地: kāi huā de
可贺地: kě hè de
困惑地: kùn huò de
狂风地: kuáng fēng de
狂欢地: kuáng huān de
宽宏地: kuān hóng de
宽厚地: kuān hòu de
可贵地: kě guì de
客观地: kè guān de
可观地: kě guān de
宽广地: kuān guǎng de
靠近地: kào jìn de
可见地: kě jiàn de
可惊地: kě jīng de
可教地: kě jiào de
可敬地: kě jìng de
可嘉地: kě jiā de
考究地: kǎo jiū de
困窘地: kùn jiǒng de
空间地: kōng jiān de
科技地: kē jì de
空旷地: kōng kuàng de
可靠地: kě kào de
开垦地: kāi kěn de
口渴地: kǒu kě de
苛刻地: kē kè de
苦苦地: kǔ kǔ de
慷慨地: kāng kǎi de
阔阔地: kuò kuò de
开快地: kāi kuài de
可口地: kě kǒu de
快快地: kuài kuài de
空空地: kōng kōng de
宽阔地: kuān kuò de
苦闷地: kǔ mèn de
可怕地: kě pà de
可佩地: kě pèi de
恳切地: kěn qiè de
夸大地: kuā dà de
快活地: kuài huó de
肯定地: kěn deng de
宽大地: kuān dà de
空洞地: kōng dòng de
狡黠地: jiǎo xiá de
尽兴地: jìn xìng de
即兴地: jí xìng de
极小地: jí xiǎo de
间歇地: jiàn xiē de
侥幸地: jiǎo xìng de
居先地: jū xiān de
艰辛地: jiān xīn de
急需地: jí xū de
家系地: jiā xì de
痉笑地: jìng xiào de
积习地: jī xí de
继续地: jì xù de
假笑地: jiǎ xiào de
教训地: jiào xùn de
畸型地: jī xíng de
解析地: jiě xī de
精选地: jīng xuǎn de
紧要地: jǐn yào de
简要地: jiǎn yào de
节约地: jié yuē de
均匀地: jūn yún de
坚硬地: jiān yìng de
惊讶地: jīng yà de
激越地: jī yuè de
久远地: jiǔ yuǎn de
坚毅地: jiān yì de
极愚地: jí yú de
教育地: jiào yù de
教养地: jiào yǎng de
禁欲地: jìn yù de
僭越地: jiàn yuè de
精液地: jīng yè de
静养地: jìng yǎng de
僵硬地: jiāng yìng de
胶粘地: jiāo zhān de
静止地: jìng zhǐ de
集中地: jí zhōng de
假装地: jiǎ zhuāng de
尽早地: jǐn zǎo de
及早地: jí zǎo de
机智地: jī zhì de
径直地: jìng zhí de
急躁地: jí zào de
健壮地: jiàn zhuàng de
紧张地: jǐn zhāng de
脚着地: jiǎo zhe de
较早地: jiào zǎo de
节制地: jié zhì de
吉兆地: jí zhào de
奸诈地: jiān zhà de
狡诈地: jiǎo zhà de
剧增地: jù zēng de
竞争地: jìng zhēng de
胶着地: jiāo zhe de
酒醉地: jiǔ zuì de
渐增地: jiàn zēng de
矫正地: jiǎo zhèng de
焦躁地: jiāo zào de
禁止地: jìn zhǐ de
精致地: jīng zhì de
快乐地: kuài lè de
可怜地: kě lián de
可能地: kě néng de
狂乱地: kuáng luàn de
狂怒地: kuáng nù de
可忍地: kě rěn de
可哀地: kě āi de
可恶地: kě wù de
可爱地: kě ài de
困恼地: kùn nǎo de
困难地: kùn nán de
狂闹地: kuáng nào de
狂烈地: kuáng liè de
苦恼地: kǔ nǎo de
酷烈地: kù liè de
狂暴地: kuáng bào de
可怖地: kě bù de
刻板地: kè bǎn de
恐怖地: kǒng bù de
口部地: kǒu bù de
可变地: kě biàn de
可鄙地: kě bǐ de
刻薄地: kè bó de
空白地: kòng bái de
口吃地: kǒu chī de
可耻地: kě chǐ de
宽敞地: kuān chǎng de
极妙地: jí miào de
急忙地: jí máng de
紧密地: jǐn mì de
精密地: jīng mì de
机敏地: jī mǐn de
佳妙地: jiā miào de
娇媚地: jiāo mèi de
绝妙地: jué miào de
骄慢地: jiāo màn de
寂寞地: jì mò de
渐慢地: jiàn màn de
敬慕地: jìng mù de
简明地: jiǎn míng de
精明地: jīng míng de
精辟地: jīng pì de
紧迫地: jǐn pò de
近旁地: jìn páng de
俭朴地: jiǎn pǔ de
急迫地: jí pò de
简朴地: jiǎn piáo de
精确地: jīng què de
倔强地: jué jiàng de
坚强地: jiān qiáng de
急切地: jí qiè de
惊奇地: jīng qí de
精巧地: jīng qiǎo de
加强地: jiā qiáng de
尽情地: jìn qíng de
机巧地: jī qiǎo de
极其地: jí qí de
进取地: jìn qǔ de
俊俏地: jùn qiào de
健全地: jiàn quán de
教区地: jiào qū de
渐强地: jiàn qiáng de
激情地: jī qíng de
及时地: jí shí de
尖声地: jiān shēng de
即时地: jí shí de
近似地: jìn sì de
急速地: jí sù de
减速地: jiǎn sù de
棘手地: jí shǒu de
谨慎地: jǐn shèn de
加速地: jiā sù de
旧式地: jiù shì de
节省地: jié shěng de
尖瘦地: jiān shòu de
尖酸地: jiān suān de
技术地: jì shù de
拒收地: jù shōu de
极少地: jí shǎo de
近射地: jìn shè de
沮丧地: jǔ sàng de
金色地: jīn sè de
俭省地: jiǎn shěng de
疾速地: jí sù de
竞赛地: jìng sài de
假设地: jiǎ shè de
减损地: jiǎn sǔn de
接受地: jiē shòu de
渐少地: jiàn shǎo de
渐速地: jiàn sù de
矫饰地: jiǎo shì de
精神地: jīng shén de
爵士地: jué shì de
奇数地: jī shù de
江水地: jiāng shuǐ de
惊天地: jīng tiān de
交替地: jiāo tì de
具体地: jù tǐ de
集体地: jí tǐ de
急跳地: jí tiào de
精通地: jīng tōng de
静态地: jìng tài de
警惕地: jǐng tì de
绝望地: jué wàng de
及物地: jí wù de
极微地: jí wēi de
健忘地: jiàn wàng de
紧握地: jǐn wò de
精细地: jīng xì de
机械地: jī xiè de
集训地: jí xùn de
渐减地: jiàn jiǎn de
简洁地: jiǎn jié de
竭尽地: jié jìn de
尽快地: jǐn kuài de
即刻地: jí kè de
艰苦地: jiān kǔ de
健康地: jiàn kāng de
加快地: jiā kuài de
尖刻地: jiān kè de
极快地: jí kuài de
紧靠地: jǐn kào de
惊恐地: jīng kǒng de
渐快地: jiàn kuài de
窘困地: jiǒng kùn de
急急地: jí jí de
急剧地: jí jù de
假假地: jiǎ jiǎ de
接近地: jiē jìn de
集结地: jí jié de
聚集地: jù jí de
纠结地: jiū jié de
节俭地: jié jiǎn de
尖叫地: jiān jiào de
讲究地: jiǎng jiū de
极佳地: jí jiā de
拘谨地: jū jǐn de
经久地: jīng jiǔ de
经济地: jīng jì de
将近地: jiāng jìn de
狡猾地: jiǎo huá de
极好地: jí hǎo de
交互地: jiāo hù de
极坏地: jí huài de
较好地: jiào hǎo de
几乎地: jī hū de
讥讽地: jī fěng de
加害地: jiā hài de
纠纷地: jiū fēn de
机会地: jī huì de
拒付地: jù fù de
间或地: jiàn huò de
结合地: jié hé de
惊骇地: jīng hài de
惊慌地: jīng huāng de
教会地: jiào huì de
精悍地: jīng hàn de
籍贯地: jí guàn de
坚固地: jiān gù de
坚果地: jiān guǒ de
间隔地: jiàn gé de
警告地: jǐng gào de
警觉地: jǐng jué de
紧急地: jǐn jí de
寂静地: jì jìng de
机警地: jī jǐng de
积极地: jī jí de
渐渐地: jiàn jiàn de
坚决地: jiān jué de
紧紧地: jǐn jǐn de
静静地: jìng jìng de
焦急地: jiāo jí de
甲地左: jiǎ de zuǒ
极端地: jí duān de
季度地: jì dù de
激动地: jī dòng de
加地夫: jiā de fū
节地率: jié de lǜ
决定地: jué deng de
均等地: jūn děng de
近代地: jìn dài de
近端地: jìn duān de
间断地: jiàn duàn de
急动地: jí dòng de
倦怠地: juàn dài de
剧毒地: jù dú de
假定地: jiǎ deng de
悸动地: jì dòng de
教导地: jiào dǎo de
焦点地: jiāo diǎn de
嫉妒地: jí dù de
简单地: jiǎn dān de
极大地: jí dà de
讥刺地: jī cì de
纠缠地: jiū chán de
坚持地: jiān chí de
娇宠地: jiāo chǒng de
疾驰地: jí chí de
基础地: jī chǔ de
接触地: jiē chù de
巨大地: jù dà de
坚定地: jiān deng de
极度地: jí dù de
简短地: jiǎn duǎn de
绝对地: jué duì de
加倍地: jiā bèi de
局部地: jú bù de
九倍地: jiǔ bèi de
加班地: jiā bān de
进步地: jìn bù de
举办地: jǔ bàn de
简便地: jiǎn biàn de
激辩地: jī biàn de
经常地: jīng cháng de
几次地: jǐ cì de
交叉地: jiāo chā de
局促地: jú cù de
杰出地: jié chū de
急促地: jí cù de
精彩地: jīng cǎi de
饥饿地: jī è de
吉利地: jí lì de
尖锐地: jiān ruì de
坚尼地: jiān ní de
坚韧地: jiān rèn de
娇嫩地: jiāo nèn de
简略地: jiǎn lüè de
激烈地: jī liè de
几里地: jǐ lǐ de
计量地: jì liàng de
讥剌地: jī lá de
叫嚷地: jiào rǎng de
节日地: jié rì de
决然地: jué rán de
尽力地: jìn lì de
机灵地: jī líng de
纪念地: jì niàn de
坚忍地: jiān rěn de
坚牢地: jiān láo de
极弱地: jí ruò de
极恶地: jí è de
极难地: jí nán de
近来地: jìn lái de
拘泥地: jū nì de
娇弱地: jiāo ruò de
将来地: jiāng lái de
急拉地: jí lā de
急流地: jí liú de
兼任地: jiān rèn de
兼容地: jiān róng de
紧邻地: jǐn lín de
接纳地: jiē nà de
接连地: jiē lián de
渐弱地: jiàn ruò de
焦虑地: jiāo lǜ de
禁猎地: jìn liè de
简练地: jiǎn liàn de
截然地: jié rán de
精练地: jīng liàn de
精炼地: jīng liàn de
激昂地: jī áng de
激怒地: jī nù de
几倍地: jǐ bèi de
干燥地: gān zào de
各自地: gè zì de
固执地: gù zhí de
贯注地: guàn zhù de
刚着地: gāng zhe de
归罪地: guī zuì de
甘蔗地: gān zhè de
光泽地: guāng zé de
乖张地: guāi zhāng de
规则地: guī zé de
诡诈地: guǐ zhà de
贵族地: guì zú de
隔周地: gé zhōu de
鼓躁地: gǔ zào de
艰难地: jiān nán de
骄傲地: jiāo ào de
剧烈地: jù liè de
尽量地: jǐn liàng de
惊人地: jīng rén de
勾引地: gōu yǐn de
古雅地: gǔ yǎ de
归因地: guī yīn de
共有地: gòng yǒu de
刚勇地: gāng yǒng de
固有地: gù yǒu de
高雅地: gāo yǎ de
概要地: gài yào de
寡言地: guǎ yán de
过早地: guò zǎo de
公正地: gōng zhèng de
工作地: gōng zuò de
贵重地: guì zhòng de
更少地: gèng shǎo de
恭顺地: gōng shùn de
高声地: gāo shēng de
高尚地: gāo shàng de
光身地: guāng shēn de
过时地: guò shí de
过剩地: guò shèng de
攻势地: gōng shì de
根深地: gēn shēn de
歌珊地: gē shān de
跟上地: gēn shàng de
嘎声地: gā shēng de
光头地: guāng tóu de
共同地: gòng tóng de
固体地: gù tǐ de
感叹地: gǎn tàn de
滚烫地: gǔn tàng de
寡头地: guǎ tóu de
鼓舞地: gǔ wǔ de
高兴地: gāo xìng de
搞笑地: gǎo xiào de
光学地: guāng xué de
关系地: guān xì de
过细地: guò xì de
高效地: gāo xiào de
感性地: gǎn xìng de
感谢地: gǎn xiè de
管辖地: guǎn xiá de
故意地: gù yì de
供应地: gōng yìng de
概括地: gài kuò de
更快地: gèng kuài de
广阔地: guǎng kuò de
公开地: gōng kāi de
诡秘地: guǐ mì de
光明地: guāng míng de
共鸣地: gòng míng de
过敏地: guò mǐn de
国民地: guó mín de
该骂地: gāi mà de
乖僻地: guāi pì de
公平地: gōng píng de
规劝地: guī quàn de
刚强地: gāng qiáng de
乖巧地: guāi qiǎo de
搁浅地: gē qiǎn de
感情地: gǎn qíng de
各市地: gè shì de
感伤地: gǎn shāng de
更深地: gēng shēn de
恭谨地: gōng jǐn de
赶紧地: gǎn jǐn de
感激地: gǎn jī de
归咎地: guī jiù de
过急地: guò jí de
过激地: guò jī de
告诫地: gào jiè de
更加地: gèng jiā de
过份地: guò fèn de
更坏地: gèng huài de
规范地: guī fàn de
该罚地: gāi fá de
隔阂地: gé hé de
古怪地: gǔ guài de
高高地: gāo gāo de
乖乖地: guāi guāi de
尴尬地: gān gà de
咕咕地: gū gū de
公共地: gōng gòng de
各个地: gè gè de
怪怪地: guài guài de
果敢地: guǒ gǎn de
恭敬地: gōng jìng de
广泛地: guǎng fàn de
更好地: gèng hǎo de
过分地: guò fèn de
孤单地: gū dān de
怪诞地: guài dàn de
规定地: guī deng de
高大地: gāo dà de
感动地: gǎn dòng de
滚动地: gǔn dòng de
过渡地: guò dù de
更多地: gèng duō de
过多地: guò duō de
过度地: guò dù de
孤独地: gū dú de
果断地: guǒ duàn de
干脆地: gān cuì de
乖乘地: guāi chéng de
光彩地: guāng cǎi de
过迟地: guò chí de
构词地: gòu cí de
惯常地: guàn cháng de
搞错地: gǎo cuò de
个别地: gè bié de
广博地: guǎng bó de
古板地: gǔ bǎn de
刚愎地: gāng bì de
各别地: gè bié de
合宜地: hé yí de
怀疑地: huái yí de
罕有地: hǎn yǒu de
活跃地: huó yuè de
敷衍地: fū yǎn de
幻影地: huàn yǐng de
合意地: hé yì de
回忆地: huí yì de
好意地: hǎo yì de
欢迎地: huān yíng de
欢跃地: huān yuè de
欢愉地: huān yú de
含有地: hán yǒu de
厚颜地: hòu yán de
荒淫地: huāng yín de
诲淫地: huì yín de
婚姻地: hūn yīn de
喉音地: hóu yīn de
合作地: hé zuò de
厚重地: hòu zhòng de
烦躁地: fán zào de
互助地: hù zhù de
好战地: hào zhàn de
放纵地: fàng zòng de
环状地: huán zhuàng de
复杂地: fù zá de
浑浊地: hún zhuó de
悔罪地: huǐ zuì de
浮躁地: fú zào de
获准地: huò zhǔn de
混杂地: hùn zá de
混浊地: hún zhuó de
慌张地: huāng zhāng de
糊状地: hú zhuàng de
干练地: gàn liàn de
高傲地: gāo ào de
飞速地: fēi sù de
化石地: huà shí de
合适地: hé shì de
好色地: hào sè de
防守地: fáng shǒu de
很少地: hěn shǎo de
反射地: fǎn shè de
发射地: fā shè de
好胜地: hào shèng de
和声地: hé shēng de
和善地: hé shàn de
放肆地: fàng sì de
胡说地: hú shuō de
晦涩地: huì sè de
寒酸地: hán suān de
滑顺地: huá shùn de
毁损地: huǐ sǔn de
豪爽地: háo shuǎng de
荒唐地: huāng táng de
好听地: hǎo tīng de
坏透地: huài tòu de
沸腾地: fèi téng de
黄铜地: huáng tóng de
糊涂地: hú tú de
会晤地: huì wù de
乏味地: fá wèi de
好问地: hǎo wèn de
好玩地: hǎo wán de
宏伟地: hóng wěi de
抚慰地: fǔ wèi de
很晚地: hěn wǎn de
悔悟地: huǐ wù de
反向地: fǎn xiàng de
含蓄地: hán xù de
幻想地: huàn xiǎng de
诙谐地: huī xié de
互相地: hù xiāng de
好心地: hǎo xīn de
虎形地: hǔ xíng de
很细地: hěn xì de
含笑地: hán xiào de
化学地: huà xué de
反相地: fǎn xiāng de
方形地: fāng xíng de
好学地: hào xué de
好笑地: hǎo xiào de
欢喜地: huān xǐ de
芳香地: fāng xiāng de
和谐地: hé xié de
环行地: huán xíng de
环形地: huán xíng de
很小地: hěn xiǎo de
害羞地: hài xiū de
滑行地: huá xíng de
横向地: héng xiàng de
横斜地: héng xié de
福兴地: fú xīng de
华美地: huá měi de
缓慢地: huǎn màn de
化名地: huà míng de
和睦地: hé mù de
很慢地: hěn màn de
烦闷地: fán mèn de
慌忙地: huāng máng de
毁灭地: huǐ miè de
活泼地: huó pō de
和平地: hé píng de
黄婆地: huáng pó de
分批地: fēn pī de
合拍地: hé pāi de
好评地: hǎo píng de
哄骗地: hǒng piàn de
好奇地: hào qí de
和气地: hé qì de
风趣地: fēng qù de
合群地: hé qún de
废弃地: fèi qì de
肤浅地: fū qiǎn de
唤起地: huàn qǐ de
分散地: fēn sǎn de
附带地: fù dài de
狠毒地: hěn dú de
荒诞地: huāng dàn de
反对地: fǎn duì de
反动地: fǎn dòng de
火地岛: huǒ de dǎo
发达地: fā dá de
发抖地: fā dǒu de
回动地: huí dòng de
负地性: fù de xìng
放荡地: fàng dàng de
轰动地: hōng dòng de
很多地: hěn duō de
活动地: huó dòng de
海底地: hǎi dǐ de
海盗地: hǎi dào de
混蛋地: hùn dàn de
恒地营: héng de yíng
非凡地: fēi fán de
和缓地: hé huǎn de
含糊地: hán hú de
坏坏地: huài huài de
很好地: hěn hǎo de
狠狠地: hěn hěn de
缓缓地: huǎn huǎn de
好好地: hǎo hǎo de
悔恨地: huǐ hèn de
丰富地: fēng fù de
忿忿地: fèn fèn de
反复地: fǎn fù de
合法地: hé fǎ de
恨恨地: hèn hèn de
奋发地: fèn fā de
非法地: fēi fǎ de
厚厚地: hòu hòu de
黄昏地: huáng hūn de
辉煌地: huī huáng de
会话地: huì huà de
后悔地: hòu huǐ de
灰灰地: huī huī de
灰黄地: huī huáng de
怀恨地: huái hèn de
呼唤地: hū huàn de
和好地: hé hǎo de
挥霍地: huī huò de
绘画地: huì huà de
浮华地: fú huá de
符合地: fú hé de
豪华地: háo huá de
华贵地: huá guì de
合格地: hé gé de
回顾地: huí gù de
悔改地: huǐ gǎi de
横过地: héng guò de
滑稽地: huá jī de
幻觉地: huàn jué de
火急地: huǒ jí de
好久地: hǎo jiǔ de
罕见地: hǎn jiàn de
恒久地: héng jiǔ de
费解地: fèi jiě de
耗尽地: hào jìn de
喊叫地: hǎn jiào de
喝酒地: hē jiǔ de
富集地: fù jí de
何家地: hé jiā de
发狂地: fā kuáng de
很快地: hěn kuài de
飞快地: fēi kuài de
疯狂地: fēng kuáng de
欢快地: huān kuài de
愤慨地: fèn kǎi de
反抗地: fǎn kàng de
付款地: fù kuǎn de
好看地: hǎo kàn de
浮夸地: fú kuā de
横宽地: héng kuān de
荒谬地: huāng miù de
否定地: fǒu deng de
反常地: fǎn cháng de
讽刺地: fěng cì de
非常地: fēi cháng de
酣畅地: hān chàng de
合成地: hé chéng de
合唱地: hé chàng de
奉承地: fèng chéng de
服从地: fú cóng de
复仇地: fù chóu de
胡吹地: hú chuī de
唤出地: huàn chū de
喝采地: hè cǎi de
喝彩地: hè cǎi de
多汁地: duō zhī de
呆滞地: dāi zhì de
杜撰地: dù zhuàn de
定罪地: deng zuì de
带状地: dài zhuàng de
倒转地: dào zhuǎn de
倒栽地: dào zāi de
倒置地: dào zhì de
断奏地: duàn zòu de
端正地: duān zhèng de
端庄地: duān zhuāng de
欢乐地: huān lè de
混乱地: hùn luàn de
合理地: hé lǐ de
忿怒地: fèn nù de
愤怒地: fèn nù de
分离地: fēn lí de
发怒地: fā nù de
纷乱地: fēn luàn de
费力地: fèi lì de
化脓地: huà nóng de
风流地: fēng liú de
发亮地: fā liàng de
发案地: fā àn de
华丽地: huá lì de
后来地: hòu lái de
好乱地: hǎo luàn de
欢闹地: huān nào de
欢然地: huān rán de
含泪地: hán lèi de
怀念地: huái niàn de
和蔼地: hé ǎi de
和霭地: hé ǎi de
放任地: fàng rèn de
非难地: fēi nàn de
活力地: huó lì de
胡乱地: hú luàn de
荒凉地: huāng liáng de
海岸地: hǎi àn de
烦乱地: fán luàn de
烦恼地: fán nǎo de
获利地: huò lì de
寒冷地: hán lěng de
愤然地: fèn rán de
慌乱地: huāng luàn de
方便地: fāng biàn de
大致地: dà zhì de
独占地: dú zhàn de
独自地: dú zì de
短暂地: duǎn zàn de
动摇地: dòng yáo de
多言地: duō yán de
多雨地: duō yǔ de
多鱼地: duō yú de
多烟地: duō yān de
多疑地: duō yí de
大约地: dà yuē de
典型地: diǎn xíng de
大兴地: dà xīng de
大象地: dà xiàng de
胆小地: dǎn xiǎo de
当下地: dāng xià de
定性地: deng xìng de
担心地: dān xīn de
毒学地: dú xué de
笃信地: dǔ xìn de
达头地: dá tóu de
动听地: dòng tīng de
多数地: duō shù de
单手地: dān shǒu de
单数地: dān shù de
定时地: deng shí de
顶帅地: dǐng shuài de
淡色地: dàn sè de
